                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 1.4596,                 33.403,                 1.2008,                      0,                      0,                      0,                      0,                 1.0072,                 3.5974,                 1.3631,                0.00058,                0.00058,                0.00058,             1.7228e+09,                     10
                      2,                 1.6146,                 16.181,                 1.6174,                      0,                      0,                      0,                      0,                 1.8249,                 4.9273,                 2.5953,              0.0011566,              0.0011566,              0.0011566,             1.7228e+09,                     14
                      3,                 1.7167,                 19.571,                 1.5893,                      0,                      0,                      0,                      0,                 1.8922,                 2.6033,                 4.1969,              0.0017095,              0.0017095,              0.0017095,             1.7228e+09,                     17
                      4,                 1.9094,                 17.601,                  1.552,                      1,                    0.5,                   0.75,                  0.225,                 3.5356,                  3.582,                 8.3947,              0.0018812,              0.0018812,              0.0018812,             1.7228e+09,                     19
                      5,                 1.9137,                 10.416,                 1.8816,                      1,                    0.5,                   0.75,                  0.225,                 2.0118,                 2.4676,                 2.6744,              0.0018416,              0.0018416,              0.0018416,             1.7228e+09,                     21
                      6,                 2.0633,                  7.454,                 1.9508,                      1,                    0.5,                   0.75,                  0.375,                 1.5452,                 2.6027,                 2.3513,               0.001802,               0.001802,               0.001802,             1.7228e+09,                     23
                      7,                  1.828,                 6.2316,                 1.7787,                      1,                    0.5,                   0.75,                  0.375,                  1.647,                 1.6409,                 2.2858,              0.0017624,              0.0017624,              0.0017624,             1.7228e+09,                     25
                      8,                 1.7924,                 4.5952,                  1.771,                      1,                    0.5,                   0.75,                   0.45,                 1.8075,                 1.6783,                 2.6797,              0.0017228,              0.0017228,              0.0017228,             1.7228e+09,                     27
                      9,                 1.8348,                 4.2092,                  1.759,                      1,                    0.5,                   0.75,                   0.45,                  1.848,                 1.6793,                 3.0117,              0.0016832,              0.0016832,              0.0016832,             1.7228e+09,                     29
                     10,                 1.8224,                 3.4809,                 1.5916,                      1,                    0.5,                   0.75,                   0.15,                 1.7224,                 1.9506,                   2.46,              0.0016436,              0.0016436,              0.0016436,             1.7228e+09,                     32
                     11,                 1.5961,                 3.2826,                 1.6494,                      1,                    0.5,                   0.75,                  0.525,                 1.5798,                 1.5093,                 1.9628,               0.001604,               0.001604,               0.001604,             1.7228e+09,                     34
                     12,                 1.6107,                 2.9437,                 1.6711,                      1,                    0.5,                   0.75,                  0.375,                 1.6218,                 1.2778,                 2.0121,              0.0015644,              0.0015644,              0.0015644,             1.7228e+09,                     36
                     13,                 1.3938,                 3.1663,                 1.4085,                      1,                    0.5,                   0.75,                    0.6,                 1.6429,                 1.3196,                  2.086,              0.0015248,              0.0015248,              0.0015248,             1.7228e+09,                     38
                     14,                  1.519,                 2.8992,                  1.441,                      1,                    0.5,                   0.75,                  0.525,                 1.7641,                 1.3675,                  2.128,              0.0014852,              0.0014852,              0.0014852,             1.7228e+09,                     40
                     15,                 1.5373,                 2.2055,                 1.4888,                      1,                    0.5,                   0.75,                    0.6,                 1.6236,                 1.4108,                  2.227,              0.0014456,              0.0014456,              0.0014456,             1.7228e+09,                     42
                     16,                 1.6139,                 2.1526,                 1.6619,                      1,                    0.5,                   0.75,                  0.675,                 1.6785,                 1.3792,                 2.0887,               0.001406,               0.001406,               0.001406,             1.7228e+09,                     45
                     17,                 1.6912,                 2.0954,                 1.6548,                0.63637,                    0.5,                 0.6225,                  0.498,                 1.3886,                 1.4851,                 1.8114,              0.0013664,              0.0013664,              0.0013664,             1.7228e+09,                     47
                     18,                 1.4435,                 1.7254,                  1.472,                      1,                    0.5,                   0.75,                  0.225,                 1.5377,                 1.3432,                 1.9851,              0.0013268,              0.0013268,              0.0013268,             1.7228e+09,                     49
                     19,                 1.3847,                 1.6785,                 1.4769,                      1,                    0.5,                   0.75,                  0.525,                 1.6148,                 1.3054,                 2.0923,              0.0012872,              0.0012872,              0.0012872,             1.7228e+09,                     51
                     20,                 1.3177,                 1.5724,                 1.4425,                      1,                    0.5,                   0.75,                  0.375,                 2.2927,                 1.2436,                  2.325,              0.0012476,              0.0012476,              0.0012476,             1.7228e+09,                     53
                     21,                 1.1685,                 1.3008,                 1.2521,                      1,                    0.5,                   0.75,                  0.525,                 1.4681,                 1.4377,                 2.0541,               0.001208,               0.001208,               0.001208,             1.7228e+09,                     55
                     22,                 1.3394,                 1.3498,                  1.395,                      1,                    0.5,                   0.75,                  0.525,                 1.5983,                  1.389,                 2.1094,              0.0011684,              0.0011684,              0.0011684,             1.7228e+09,                     58
                     23,                  1.549,                 1.5272,                 1.5613,                      1,                    0.5,                   0.75,                  0.525,                 1.5663,                 1.4924,                 1.9993,              0.0011288,              0.0011288,              0.0011288,             1.7228e+09,                     60
                     24,                  1.627,                  1.345,                 1.7008,                      1,                    0.5,                   0.75,                    0.6,                 1.6228,                 1.4394,                 1.9635,              0.0010892,              0.0010892,              0.0010892,             1.7228e+09,                     62
                     25,                 1.5117,                 1.1962,                 1.5591,                      1,                    0.5,                   0.75,                    0.6,                 1.4997,                 1.6055,                 1.8862,              0.0010496,              0.0010496,              0.0010496,             1.7228e+09,                     64
                     26,                 1.5345,                 1.3666,                 1.5106,                      1,                      1,                  0.995,                0.53525,                 1.3512,                 1.4698,                 1.7957,                0.00101,                0.00101,                0.00101,             1.7228e+09,                     66
                     27,                 1.1885,                  1.189,                 1.2331,                      1,                    0.5,                   0.75,                  0.525,                 1.5867,                 1.1583,                 1.9161,              0.0009704,              0.0009704,              0.0009704,             1.7228e+09,                     69
                     28,                 1.2537,                 1.1555,                 1.3903,                0.92904,                    0.5,                 0.6225,                 0.3735,                 1.8783,                 1.3293,                  1.991,              0.0009308,              0.0009308,              0.0009308,             1.7228e+09,                     71
                     29,                 1.2829,                 1.0475,                 1.3496,                0.87377,                    0.5,                 0.6225,                 0.3735,                 1.8691,                 1.6418,                 1.9985,              0.0008912,              0.0008912,              0.0008912,             1.7228e+09,                     73
                     30,                 1.2957,                 1.1173,                 1.4101,                0.66667,                      1,                0.82833,                0.53017,                 1.4685,                 1.7943,                 1.9169,              0.0008516,              0.0008516,              0.0008516,             1.7228e+09,                     75
                     31,                 1.0986,                 1.0628,                 1.2484,                      1,                    0.5,                   0.75,                  0.525,                 1.6398,                 1.3584,                 2.0448,               0.000812,               0.000812,               0.000812,             1.7228e+09,                     77
                     32,                 1.2104,                 1.1047,                  1.321,                      1,                    0.5,                   0.75,                  0.525,                 1.5277,                 1.1175,                 1.8731,              0.0007724,              0.0007724,              0.0007724,             1.7228e+09,                     80
                     33,                 1.1911,                 1.0899,                 1.2723,                      1,                0.92166,                  0.995,                  0.605,                 1.4941,                 1.3998,                 1.9785,              0.0007328,              0.0007328,              0.0007328,             1.7228e+09,                     82
                     34,                 1.2993,                 1.1673,                   1.33,                      1,                0.95535,                  0.995,                 0.5635,                 1.5284,                 1.9563,                  1.985,              0.0006932,              0.0006932,              0.0006932,             1.7228e+09,                     84
                     35,                 1.2914,                 1.4331,                 1.4385,                0.66667,                      1,                0.82833,                0.62967,                 1.3987,                 1.8212,                 1.9867,              0.0006536,              0.0006536,              0.0006536,             1.7228e+09,                     86
                     36,                 1.0419,                 1.0654,                  1.136,                0.66667,                      1,                0.82833,                 0.5965,                 1.5789,                 1.7897,                 2.0627,               0.000614,               0.000614,               0.000614,             1.7228e+09,                     88
                     37,                  1.161,                 0.9875,                 1.3341,                0.58524,                      1,                0.82833,                0.61071,                 1.6325,                 1.7049,                 2.0191,              0.0005744,              0.0005744,              0.0005744,             1.7228e+09,                     91
                     38,                 1.2172,                0.96888,                 1.3129,                      1,                0.91166,                  0.995,                 0.7295,                  1.351,                 1.7842,                 1.7612,              0.0005348,              0.0005348,              0.0005348,             1.7228e+09,                     93
                     39,                 1.0481,                0.89771,                 1.1933,                      1,                0.85798,                  0.995,                  0.713,                 1.5065,                 1.9336,                 1.8603,              0.0004952,              0.0004952,              0.0004952,             1.7228e+09,                     95
                     40,                 1.1013,                0.82431,                 1.2305,                      1,                0.88907,                  0.995,                 0.7375,                 1.0691,                 1.7901,                 1.6446,              0.0004556,              0.0004556,              0.0004556,             1.7228e+09,                     97
                     41,                0.82254,                0.75495,                0.99225,                      1,                0.96497,                  0.995,                  0.696,                 1.0187,                 1.3836,                  1.544,               0.000416,               0.000416,               0.000416,             1.7228e+09,                    100
                     42,                0.82116,                0.77517,                  0.984,                      1,                0.98507,                  0.995,                 0.6795,                 1.0896,                 1.5013,                 1.5242,              0.0003764,              0.0003764,              0.0003764,             1.7228e+09,                    102
                     43,                0.83474,                0.77919,                0.99357,                0.96069,                      1,                  0.995,                0.67967,                 1.1849,                 2.1452,                 1.5586,              0.0003368,              0.0003368,              0.0003368,             1.7228e+09,                    104
                     44,                0.78929,                0.75183,                 1.0511,                      1,                      1,                  0.995,                  0.821,                 1.1141,                 2.1318,                 1.5782,              0.0002972,              0.0002972,              0.0002972,             1.7228e+09,                    106
                     45,                0.76258,                0.68593,                0.93934,                      1,                      1,                  0.995,                  0.821,                 1.0362,                 1.7992,                 1.5119,              0.0002576,              0.0002576,              0.0002576,             1.7228e+09,                    108
                     46,                0.78672,                0.68881,                0.98362,                      1,                      1,                  0.995,                  0.821,                 1.0223,                  1.976,                 1.4932,               0.000218,               0.000218,               0.000218,             1.7228e+09,                    110
                     47,                0.85986,                0.75422,                 1.0555,                      1,                      1,                  0.995,                 0.7715,                0.96304,                 2.3704,                 1.4681,              0.0001784,              0.0001784,              0.0001784,             1.7228e+09,                    113
                     48,                0.78636,                0.72164,                0.95606,                      1,                      1,                  0.995,                 0.7715,                  1.002,                 2.3325,                  1.486,              0.0001388,              0.0001388,              0.0001388,             1.7228e+09,                    115
                     49,                0.59964,                0.66122,                0.79512,                      1,                      1,                  0.995,                 0.7715,                 1.0107,                  2.159,                 1.4832,               9.92e-05,               9.92e-05,               9.92e-05,             1.7228e+09,                    117
                     50,                0.73545,                0.71336,                 1.0119,                      1,                      1,                  0.995,                  0.821,                0.95555,                 1.9367,                 1.4532,               5.96e-05,               5.96e-05,               5.96e-05,             1.7228e+09,                    119
